X-axis,Y-axis,time(in seconds)
36.6,31.08,674
35.47,37.04,675
32.37,32.85,676
37.64,23.66,677
32.75,34.07,678
39.72,44.71,679
38.28,32.67,680
36.8,34.06,681
35.76,35.02,682
55.34,29.41,683
40.45,27.94,684
38.71,26.34,685
42.86,26.86,686
46.53,18.91,687
39.44,28.91,688
36.89,32.53,689
46,36.11,690
41.2,30.18,691
48.99,12.27,692
39.49,31.69,693
37.68,32.02,694
40.44,27.27,695
38.6,31.61,696
33.9,29.71,697
37.87,29.22,698
43.44,11.52,699
42.64,20.55,700
35.1,28.59,701
39.79,27.95,702
38.95,29.53,703
38.46,27.74,704
40.99,36.34,705
35.38,33.51,706
34.77,24.25,707
38.66,29.51,708
50.78,26.44,709
34.19,30.76,710
34.08,36.04,711
41.21,18.1,712
36.88,31.76,713
43.33,11.78,714
34.5,27.22,715
34.22,35.3,716
34.47,24.91,717
34.89,33.31,718
29.73,31.18,719
33.55,31.19,720
36.46,11.43,721
36.38,18.99,722
30.11,31.96,723
34.09,27.99,724
35.19,29.88,725
35.78,31.71,726
56.61,34.79,727
56.33,28.2,728
56.08,25.51,729
58.2,31.84,730
61.65,26.5,731
56.04,36.37,732
56.84,37.48,733
57.06,20.12,734
71.86,29.98,735
62.66,10.36,736
56.52,30.91,737
54.68,21.01,738
55.1,35.11,739
54.64,27.44,740
56.37,31.69,741
50.84,28.6,742
50.57,30.08,743
54.27,35.75,744
55.18,10.16,745
54.24,29.54,746
55.17,29.29,747
55.59,31.2,748
97.23,31.34,749
101.07,25.94,750
98.48,30.26,751
95.82,24.57,752
96.7,32.13,753
95.84,29.16,754
96.48,26.77,755
90.84,17.08,756
96.3,28.15,757
101.2,28.74,758
100.73,27.25,759
92.23,32.55,760
78.61,25,761
97.53,30.36,762
95.46,28.56,763
94.61,28.12,764
96.48,31.48,765
86.4,33.71,766
92.79,23.33,767
83.28,16.99,768
95.33,23.69,769
95.64,26.52,770
108.19,28.5,771
111.19,35.34,772
109.12,26.92,773
108.68,25.02,774
110.92,28.42,775
108.13,33.79,776
109.89,20.43,777
109.14,29.18,778
110.64,26.31,779
109.99,24.9,780
108.44,30.57,781
108.69,33.01,782
108.97,27.3,783
108.55,25.74,784
104.09,28.56,785
107.93,26.58,786
108.65,21.17,787
107.71,30.37,788
105.2,27.63,789
109.67,28.21,790
108.86,28.69,791
107.95,28.99,792
108.39,23.78,793
111.02,30.91,794
110.1,21.45,795
109.11,19.53,796
111.38,23.79,797
108.77,28.1,798
109.35,16.56,799
107.72,22.61,800
111.33,20.66,801
109.7,18.68,802
108.52,24.81,803
109.18,27.44,804
110.02,20.73,805
108.37,19.5,806
104.88,23.36,807
107.78,20.75,808
108.92,17.89,809
108.42,25.09,810
104.86,22.44,811
109.27,21.44,812
109.2,22.87,813
107.51,24.27,814
104.04,29.78,815
99.3,31.68,816
99.97,28.14,817
99.68,35.08,818
99.91,30.27,819
99.08,42.94,820
100.13,31.33,821
98.09,10.44,822
98.87,28.37,823
102.9,15.15,824
103.81,30.67,825
93.09,29.69,826
96.79,34.92,827
98.59,31.59,828
91.67,44.03,829
81.64,26.9,830
98.05,26.41,831
99.32,35.89,832
91.65,10.3,833
94.79,16.69,834
98.64,27.65,835
99.28,29.91,836
91.17,31.35,837
91.48,28.91,838
93.83,31.93,839
104.29,32.22,840
89.99,37.17,841
95,45.27,842
93.63,24.72,843
93.7,35.21,844
96.92,19.38,845
93.66,26.39,846
91.63,34.6,847
90.92,28.81,848
90.95,30.87,849
89.83,36.45,850
86.74,32.87,851
92.17,25.94,852
93.71,45.17,853
87.49,33.96,854
91.86,23.45,855
92.49,32.54,856
91.31,33.83,857
90.82,34.46,858
99.56,28.33,859
99.05,26.73,860
101.36,28.91,861
108.54,29.53,862
98.23,36.16,863
101.7,45.76,864
100.96,19.95,865
101.21,31.16,866
104.91,18.75,867
100.18,24.12,868
97.55,33.39,869
98.53,26.51,870
99.34,28.38,871
97.78,35.6,872
94.24,29.86,873
99.53,24.25,874
100.03,45.48,875
94.67,29.1,876
99.66,20.99,877
99.8,28.89,878
99.96,30.51,879
97.29,32.49,880
106.36,30.71,881
105.33,27.37,882
106.93,35.03,883
110.6,31.4,884
104.79,39.6,885
107.57,41.36,886
107.78,23.89,887
108.03,39.1,888
108.06,16.67,889
104.52,32.36,890
104.1,34.63,891
106.49,24.43,892
104.5,38.96,893
105.29,30.62,894
102.88,37.18,895
101.29,30.2,896
106.89,40.54,897
106.94,16.71,898
98.58,34.85,899
104.25,32.66,900
105.69,33.83,901
103.18,34.77,902
110.41,25.03,903
105.93,30.92,904
105.43,24.46,905
105.43,21.89,906
106.84,31.64,907
107.16,28.02,908
105.12,26.42,909
103.14,18.58,910
104.39,27.66,911
101.32,35.03,912
110.34,26.41,913
100.56,33.15,914
100.32,19.86,915
103.93,26.95,916
93.21,37.6,917
88.06,25.71,918
101.93,28.31,919
106.07,32.25,920
96.01,14.76,921
104.21,24.65,922
104.28,21.69,923
106.5,28.31,924
49.45,30.19,925
47.29,25.21,926
48.57,31.46,927
48.62,32.16,928
47.06,31.38,929
49.51,26.25,930
47.78,36.99,931
48.05,30.47,932
48.03,32.76,933
48.36,33.98,934
48.75,29.2,935
49.31,27.02,936
48.92,31.46,937
49.13,32.42,938
53.28,30.27,939
50.12,32.14,940
48.94,34.01,941
49.36,29.69,942
52.93,31.15,943
48.39,30.85,944
48.6,30.58,945
48.75,30.46,946
95.73,33.11,947
96.67,31.49,948
93.78,30.05,949
73.6,24.85,950
96.84,32.7,951
96.86,28.01,952
93.07,10.53,953
95.34,26.43,954
95.72,37.18,955
92.31,35.95,956
96.1,30.56,957
96.78,31.83,958
95.42,31.89,959
97.17,27.46,960
102.04,30.5,961
95.92,36.73,962
96.24,33.63,963
100.82,31.12,964
94.66,10.82,965
95.02,31.06,966
96.62,30.68,967
96.76,28.82,968
93.4,19.98,969
96.22,31.81,970
93.59,25.08,971
74.68,26.75,972
95.2,30.72,973
94.01,22.06,974
91,7.3,975
91.37,30.07,976
93.26,32.25,977
89.94,15.39,978
96.11,27.26,979
94.18,20.22,980
95.89,30.08,981
94.85,22.23,982
100.19,25.71,983
91.65,15.17,984
94.81,31.13,985
99.41,24.25,986
92.01,7.55,987
94.38,27.48,988
95.7,26.22,989
93.5,24.95,990
52.78,24.64,991
57.99,24.41,992
59.03,29.88,993
58.4,21.86,994
57.95,31.35,995
58.55,26.25,996
57.68,28.39,997
60.64,17.78,998
60.69,26.69,999
62.79,33.54,1000
53.21,26,1001
64.08,22.04,1002
58.64,24.19,1003
59.27,26.32,1004
59.19,27.68,1005
66.56,12.97,1006
77.27,26.63,1007
59.38,21.24,1008
70.14,36.58,1009
58.8,31.74,1010
62.5,25.14,1011
58.45,28.91,1012
100.88,24.69,1013
105.68,26.62,1014
104.06,29.53,1015
103.56,27.43,1016
106.15,27.14,1017
105,22.8,1018
105.37,25.51,1019
107.68,31.26,1020
106.28,29.3,1021
106.45,19.32,1022
100.45,20.38,1023
108.4,30.34,1024
107.39,19.86,1025
110.44,20.33,1026
107.62,24.28,1027
105.35,22.1,1028
110.94,32.07,1029
109.72,22,1030
107.18,29.25,1031
103.84,30.24,1032
106.74,26.98,1033
105.92,26.57,1034
25.32,25.45,1035
29.84,24.4,1036
28.84,31,1037
29.38,32.9,1038
29.92,30.33,1039
30.21,26.74,1040
29.64,28.63,1041
32.71,7.54,1042
31.33,28.06,1043
30.73,32.93,1044
24.8,30.22,1045
31.63,32.66,1046
34.96,21.01,1047
29.63,25.12,1048
31.57,27.59,1049
34.38,8.68,1050
34.41,25.81,1051
35.33,33.37,1052
29.88,20.96,1053
30.32,29.04,1054
32.66,31.12,1055
30.24,30.04,1056
